I,K,instance, so_assignment, so_misplace, so_obj, best_assign, worst_assign, best_misplace, worst_misplace, best, worst, mip_gap, time_best, time_worst,time_best,time_worst
20,4,1,109215,358,123177,109215,120742,358,0,123178,149159,0,3.36E+06,3.38E+07,3.36E-03,3.38E-02
20,4,2,98239,380,114199,98239,117572,380,0,114199,153185,0,2.25E+06,1.82E+07,2.25E-03,1.82E-02
20,4,3,75074,437,81192,77479,93830,332,0,82127,101614,0,5.46E+06,1.93E+07,5.46E-03,1.93E-02
20,4,4,121805,558,128501,122253,135337,526,0,128565,151504,0,2.91E+06,3.21E+07,2.91E-03,3.21E-02
20,4,5,125303,582,153821,125303,126291,582,0,153821,198798,0,3.44E+06,2.95E+07,3.44E-03,2.95E-02
20,6,1,162571,858,218341,162571,170187,858,0,218341,379567,0,6.36E+06,4.45E+08,6.36E-03,4.45E-01
20,6,2,142400,901,182945,142400,143615,901,0,182945,290090,0,3.23E+06,5.80E+08,3.23E-03,5.80E-01
20,6,3,135361,296,141281,135361,141204,296,0,141281,166592,0,4.32E+06,6.45E+08,4.32E-03,6.45E-01
20,6,4,118384,721,147224,118384,133479,721,0,147224,233370,0,3.13E+06,3.49E+08,3.13E-03,3.49E-01
20,6,5,150136,407,159904,150136,166503,407,0,159904,196492,0,4.38E+06,3.88E+08,4.38E-03,3.88E-01
20,8,1,185907,873,247017,185907,187740,873,0,247017,463236,0,1.30E+07,9.57E+10,1.30E-02,9.57E+01
20,8,2,179440,884,190048,179440,181372,884,0,190048,228448,0,1.39E+07,1.31E+11,1.39E-02,1.31E+02
20,8,3,203599,6464,203599,203599,204454,1048,0,203599,204454,0,8.10E+06,8.08E+06,8.10E-03,8.08E-03
20,8,4,110482,378,133540,110482,125416,378,0,133540,248741,0,1.03E+07,6.24E+10,1.03E-02,6.24E+01
20,8,5,145460,659,162594,145460,166351,659,0,162594,253667,0,5.19E+06,8.19E+10,5.19E-03,8.19E+01
20,10,1,206170,1209,273874,206170,214274,1209,0,273874,-544160,0.147543,2.01E+07,3.60E+12,2.01E-02,3.60E+03
20,10,2,213744,967,259193,213744,221380,967,0,259193,-505196,0.24077,2.62E+07,3.60E+12,2.62E-02,3.60E+03
20,10,3,206771,1087,215467,206771,208104,1087,0,215467,-258544,0.0671066,3.12E+07,3.61E+12,3.12E-02,3.61E+03
20,10,4,197797,822,219991,197797,230148,822,0,219991,-340713,0.162313,3.57E+07,3.60E+12,3.57E-02,3.60E+03
20,10,5,227235,645,240780,227235,251147,645,0,240780,-320198,0.177079,3.08E+07,3.60E+12,3.08E-02,3.60E+03
20,12,1,185015,890,217945,185015,226559,890,0,217945,-423730,0.220877,3.80E+07,3.60E+12,3.80E-02,3.60E+03
20,12,2,253736,1292,265364,253736,302321,1292,0,265364,-361118,0.0352655,5.04E+07,3.60E+12,5.04E-02,3.60E+03
20,12,3,211330,665,229950,211330,232862,665,0,229950,-356523,0.277062,4.41E+07,3.60E+12,4.41E-02,3.60E+03
20,12,4,241242,914,298824,241242,249866,914,0,298824,-726588,0.182344,4.82E+07,3.60E+12,4.82E-02,3.60E+03
20,12,5,200304,1718,202022,202524,229140,1318,0,203842,-234698,0.00658719,5.99E+07,3.60E+12,5.99E-02,3.60E+03
20,14,1,297926,1323,312479,297926,312114,1323,0,312479,-407048,0.029456,5.52E+07,3.60E+12,5.52E-02,3.60E+03
20,14,2,296747,1531,348801,296747,297713,1531,0,348801,-612518,0.0627247,5.22E+07,3.60E+12,5.22E-02,3.60E+03
20,14,3,266394,1400,326594,266394,297096,1400,0,326594,-666618,0.0994228,5.57E+07,3.61E+12,5.57E-02,3.61E+03
20,14,4,242314,821,255450,242314,272007,821,0,255450,-367996,0.145132,5.89E+07,3.61E+12,5.89E-02,3.61E+03
20,14,5,279893,1027,304541,279893,300389,1027,0,304541,-475218,0.12944,5.64E+07,3.61E+12,5.64E-02,3.61E+03
20,16,1,292269,1693,349831,292269,333626,1693,0,349831,-657823,0.0687282,6.44E+07,3.60E+12,6.44E-02,3.60E+03
20,16,2,335188,2154,352420,335188,339238,2154,0,352420,-431074,0.0220473,6.93E+07,3.60E+12,6.93E-02,3.60E+03
20,16,3,302060,1331,389906,302060,336739,1331,0,389906,-949479,0.112271,5.62E+07,3.60E+12,5.62E-02,3.60E+03
20,16,4,350482,1968,456754,350482,391952,1968,0,456754,-968218,0.099554,5.88E+07,3.61E+12,5.88E-02,3.61E+03
20,16,5,294628,1129,328498,294628,325871,1129,0,328498,-584226,0.124575,6.08E+07,3.60E+12,6.08E-02,3.60E+03
40,4,1,174308,1206,189986,174308,202027,1206,0,189986,241543,0,4.67E+06,4.38E+07,4.67E-03,4.38E-02
40,4,2,123041,973,132771,136979,189712,244,0,139419,193822,0,5.74E+06,4.48E+07,5.74E-03,4.48E-02
40,4,3,165135,768,184335,168043,203144,657,0,184468,237824,0,3.87E+06,2.85E+07,3.87E-03,2.85E-02
40,4,4,119009,680,135329,122921,176974,541,0,135905,197086,0,3.95E+06,3.97E+07,3.95E-03,3.97E-02
40,4,5,189210,1349,240472,189210,230152,1349,0,240472,337838,0,2.90E+06,3.56E+07,2.90E-03,3.56E-02
40,6,1,246044,1227,329480,246044,279182,1227,0,329480,546975,0,9.37E+06,1.17E+09,9.37E-03,1.17E+00
40,6,2,247831,1348,299055,247831,267333,1348,0,299055,473773,0,6.67E+06,1.20E+09,6.67E-03,1.20E+00
40,6,3,263830,845,301010,263830,309849,845,0,301010,425732,0,6.34E+06,2.34E+08,6.34E-03,2.34E-01
40,6,4,195003,1177,198534,198788,234704,652,0,200744,239501,0,2.27E+07,4.89E+08,2.27E-02,4.89E-01
40,6,5,212763,1327,276459,212763,249405,1327,0,276459,471861,0,8.68E+06,9.88E+08,8.68E-03,9.88E-01
40,8,1,262001,1380,307541,262001,274351,1380,0,307541,518315,0,2.18E+07,2.55E+11,2.18E-02,2.55E+02
40,8,2,396997,3154,475847,396997,397765,3154,0,475847,678965,0,2.32E+07,6.87E+10,2.32E-02,6.87E+01
40,8,3,376444,2610,436474,376474,379066,2610,0,436474,638805,0,3.46E+07,7.68E+10,3.46E-02,7.68E+01
40,8,4,330260,1296,349700,330260,373985,1296,0,349700,447350,0,3.24E+07,1.10E+10,3.24E-02,1.10E+01
40,8,5,280539,2620,448219,280539,283381,2620,0,448219,956661,0,9.56E+06,2.79E+10,9.56E-03,2.79E+01
40,10,1,418998,2391,464427,418998,439270,2391,0,464427,-659923,0.0818538,1.98E+07,3.60E+12,1.98E-02,3.60E+03
40,10,2,308739,2047,433606,308739,329798,2047,0,433606,-1.02E+06,0.148747,4.67E+07,3.60E+12,4.67E-02,3.60E+03
40,10,3,336306,1085,341731,337721,403455,802,0,341731,422788,0,5.42E+07,8.14E+11,5.42E-02,8.14E+02
40,10,4,392059,1642,457739,392059,431846,1642,0,457739,-808545,0.221385,5.42E+07,3.60E+12,5.42E-02,3.60E+03
40,10,5,367146,2149,502533,367146,373679,2149,0,502533,-1.13E+06,0.178602,4.05E+07,3.60E+12,4.05E-02,3.60E+03
40,12,1,487107,2729,612641,487107,559931,2729,0,612641,-1.27E+06,0.168958,5.77E+07,3.60E+12,5.77E-02,3.60E+03
40,12,2,352192,1972,468540,352192,383189,1972,0,468540,-1.12E+06,0.151943,5.85E+07,3.60E+12,5.85E-02,3.60E+03
40,12,3,470954,3332,684202,470954,471612,3332,0,684258,-1.49E+06,0.0910502,2.57E+07,3.60E+12,2.57E-02,3.60E+03
40,12,4,398848,2506,561738,398848,458466,2506,0,561738,-1.33E+06,0.149806,5.53E+07,3.60E+12,5.53E-02,3.60E+03
40,12,5,548554,2430,611734,548595,558340,2430,0,611734,-1.02E+06,0.104719,5.12E+07,3.60E+12,5.12E-02,3.60E+03
40,14,1,553343,2331,665231,553343,580400,2331,0,665231,-1.40E+06,0.118041,5.78E+07,3.61E+12,5.78E-02,3.61E+03
40,14,2,509590,2228,658866,509590,568944,2228,0,658866,-1.71E+06,0.149023,6.99E+07,3.60E+12,6.99E-02,3.60E+03
40,14,3,559075,2753,611382,559075,580607,2753,0,611382,-918766,0.0666046,7.00E+07,3.61E+12,7.00E-02,3.61E+03
40,14,4,493205,1863,523013,493205,544632,1863,0,523013,-788366,0.0954886,7.06E+07,3.60E+12,7.06E-02,3.60E+03
40,14,5,680367,3857,896359,680367,682376,3857,0,896359,-1.91E+06,0.0838948,7.38E+07,3.60E+12,7.38E-02,3.60E+03
40,16,1,709917,3202,870017,709936,724238,3202,0,870017,-1.91E+06,0.079028,8.60E+07,3.60E+12,8.60E-02,3.60E+03
40,16,2,769918,3405,1.00E+06,769918,786189,3405,0,1.00E+06,-2.38E+06,0.0946675,2.21E+08,3.60E+12,2.21E-01,3.60E+03
40,16,3,794878,3546,812608,794914,837708,3546,0,812608,-944710,0.013782,1.01E+08,3.60E+12,1.01E-01,3.60E+03
40,16,4,656361,2258,697005,656361,723392,2258,0,697005,-1.06E+06,0.0616472,9.64E+07,3.60E+12,9.64E-02,3.60E+03
40,16,5,467472,3169,565711,467472,506215,3169,0,565711,-1.16E+06,0.113554,9.91E+07,3.60E+12,9.91E-02,3.60E+03
60,4,1,272921,770,309881,272921,321532,770,0,309881,379660,0,1.13E+07,5.12E+07,1.13E-02,5.12E-02
60,4,2,283043,1750,297043,283925,309557,1682,0,297381,344183,0,1.10E+07,4.01E+07,1.10E-02,4.01E-02
60,4,3,271974,1689,324333,271974,334218,1689,0,324333,440482,0,5.19E+06,5.35E+07,5.19E-03,5.35E-02
60,4,4,282361,2476,421017,282361,338695,2476,0,421017,596402,0,8.85E+06,5.32E+07,8.85E-03,5.32E-02
60,4,5,338288,3115,553223,338288,366464,3115,0,553223,789348,0,4.65E+06,4.95E+07,4.65E-03,4.95E-02
60,6,1,440212,1767,533863,440212,465091,1767,0,533863,818810,0,9.54E+06,4.64E+09,9.54E-03,4.64E+00
60,6,2,454248,2461,577298,454248,482029,2461,0,577298,950826,0,2.31E+07,2.60E+09,2.31E-02,2.60E+00
60,6,3,385427,728,434931,385427,458740,728,0,434931,574294,0,2.17E+07,1.54E+08,2.17E-02,1.54E-01
60,6,4,374229,1422,391293,374229,412623,1422,0,391293,467053,0,2.60E+07,1.18E+09,2.60E-02,1.18E+00
60,6,5,311213,1423,321174,311213,342631,1423,0,321174,376238,0,2.04E+07,1.18E+09,2.04E-02,1.18E+00
60,8,1,325519,2593,333298,327800,408867,2081,0,334043,428460,0,3.52E+07,9.72E+09,3.52E-02,9.72E+00
60,8,2,538359,2674,677407,538359,542967,2674,0,677407,1.22E+06,0,3.59E+07,1.94E+11,3.59E-02,1.94E+02
60,8,3,464328,2932,537628,464328,465816,2932,0,537628,808091,0,4.72E+07,3.91E+11,4.72E-02,3.91E+02
60,8,4,457794,4806,601974,457794,479625,4806,0,601974,979604,0,4.79E+07,7.96E+10,4.79E-02,7.96E+01
60,8,5,495020,3092,705276,495020,497421,3092,0,705276,1.40E+06,0,3.60E+07,4.27E+10,3.60E-02,4.27E+01
